analysis_layer	predictor_representation	antigen_target	analysis_stratum	predictor_feature	functional_outcome	feature_pair	participants	spearman_rho	spearman_p_value	correlation_status	correlation_direction	correlation_strength	predictor_floor_severity	outcome_floor_severity	pair_maximum_floor_severity	floor_sensitive_pair	bh_q_value	fdr_significant
predictor_function	raw_predictor	HPV18	recall_dose1	IgG1	nAb	IgG1__nAb	20	0.5967591011820209	0.00547496628738278	estimated	positive	moderate	none	high	high	True	0.032849797724296685	True
predictor_function	raw_predictor	HPV18	recall_dose1	IgG3	nAb	IgG3__nAb	20	0.35896423091405827	0.12011268527783257	estimated	positive	weak	none	high	high	True	0.1441352223333991	False
predictor_function	raw_predictor	HPV18	recall_dose1	FcgR2A	nAb	FcgR2A__nAb	20	0.0628566058351621	0.7923477373069575	estimated	positive	very_weak	low	high	high	True	0.7923477373069575	False
predictor_function	raw_predictor	HPV18	recall_dose1	FcgR2B	nAb	FcgR2B__nAb	20	0.39455773060384886	0.08515156746261641	estimated	positive	weak	none	high	high	True	0.1441352223333991	False
predictor_function	raw_predictor	HPV18	recall_dose1	FcgR3A	nAb	FcgR3A__nAb	20	0.37411040099482024	0.10416562693477924	estimated	positive	weak	low	high	high	True	0.1441352223333991	False
predictor_function	raw_predictor	HPV18	recall_dose2	IgG	ADCP	IgG__ADCP	21	0.6922077922077923	0.0005070683142805506	estimated	positive	strong	none	none	none	False	0.001521204942841652	True
predictor_function	raw_predictor	HPV18	recall_dose2	IgG1	ADCP	IgG1__ADCP	21	0.7753246753246753	3.6511080075003137e-05	estimated	positive	strong	none	none	none	False	0.00021906648045001882	True
predictor_function	raw_predictor	HPV18	recall_dose2	IgG3	ADCP	IgG3__ADCP	21	0.1974025974025974	0.39105475294328806	estimated	positive	very_weak	none	none	none	False	0.39105475294328806	False
predictor_function	raw_predictor	HPV18	recall_dose2	FcgR2A	ADCP	FcgR2A__ADCP	21	0.5064935064935064	0.019128951134752433	estimated	positive	moderate	low	none	low	False	0.02869342670212865	True
predictor_function	raw_predictor	HPV18	recall_dose2	FcgR2B	ADCP	FcgR2B__ADCP	21	0.2714285714285714	0.233974271651381	estimated	positive	weak	none	none	none	False	0.28076912598165715	False
predictor_function	raw_predictor	HPV18	recall_dose2	FcgR3A	ADCP	FcgR3A__ADCP	21	0.5142857142857142	0.01707135314181649	estimated	positive	moderate	low	none	low	False	0.02869342670212865	True
predictor_function	raw_predictor	HPV18	recall_dose2	IgG	nAb	IgG__nAb	21	0.4474956495199846	0.0419412024935725	estimated	positive	moderate	none	high	high	True	0.10456844207270159	False
predictor_function	raw_predictor	HPV18	recall_dose2	IgG1	nAb	IgG1__nAb	21	0.5292179772673751	0.013626737914832928	estimated	positive	moderate	none	high	high	True	0.08176042748899758	False
predictor_function	raw_predictor	HPV18	recall_dose2	IgG3	nAb	IgG3__nAb	21	0.16805801270632706	0.46650063355986326	estimated	positive	very_weak	none	high	high	True	0.6688197569344516	False
predictor_function	raw_predictor	HPV18	recall_dose2	FcgR2A	nAb	FcgR2A__nAb	21	0.13576451222550343	0.5573497974453764	estimated	positive	very_weak	low	high	high	True	0.6688197569344516	False
predictor_function	raw_predictor	HPV18	recall_dose2	FcgR2B	nAb	FcgR2B__nAb	21	0.08633568495893665	0.70981127278872	estimated	positive	very_weak	none	high	high	True	0.70981127278872	False
predictor_function	raw_predictor	HPV18	recall_dose2	FcgR3A	nAb	FcgR3A__nAb	21	0.4290422206737997	0.052284221036350796	estimated	positive	moderate	low	high	high	True	0.10456844207270159	False
predictor_function	raw_predictor	HPV18	recall_dose3	IgG	ADCP	IgG__ADCP	19	0.5035087719298245	0.027966014959808088	estimated	positive	moderate	none	none	none	False	0.055932029919616176	False
predictor_function	raw_predictor	HPV18	recall_dose3	IgG1	ADCP	IgG1__ADCP	19	0.6754385964912282	0.001505512379114516	estimated	positive	strong	none	none	none	False	0.009033074274687096	True
