antigen_target	antigen_class	visit	feature	assay_family	observations	unique_participants	minimum	minimum_count	minimum_fraction	zero_count	zero_fraction	q1	median	mean	q3	maximum	standard_deviation	skewness	unique_values	possible_lower_bound_accumulation	discrete_titer_or_ordinal_assay
HPV33	cross_reactive_non_booster_target	v2	IgA1	antibody_isotype_or_subclass	80	80	1.0	2	0.025	0	0.0	186.7	408.0	998.6674999999999	928.375	16942.0	2190.317850685522	5.604205269784248	78	no	no
HPV33	cross_reactive_non_booster_target	v1	IgA2	antibody_isotype_or_subclass	80	80	1.0	41	0.5125	0	0.0	1.0	1.0	336.99	83.75	18981.0	2159.731076648905	8.41408127040209	40	yes	no
HPV33	cross_reactive_non_booster_target	v2	IgA2	antibody_isotype_or_subclass	80	80	1.0	31	0.3875	0	0.0	1.0	32.25	594.24125	296.25	13318.0	1814.6190207044056	5.422158078462858	50	yes	no
HPV33	cross_reactive_non_booster_target	v1	IgG	antibody_isotype_or_subclass	80	80	76.0	1	0.0125	0	0.0	316.575	494.25	738.09875	821.3499999999999	7315.0	913.9403354890628	5.023594427356972	78	no	no
HPV33	cross_reactive_non_booster_target	v2	IgG	antibody_isotype_or_subclass	80	80	92.8	1	0.0125	0	0.0	727.2750000000001	1344.4	2257.09	2758.2749999999996	9562.0	2383.9557206723834	1.7816166193050706	80	no	no
HPV33	cross_reactive_non_booster_target	v1	IgG1	antibody_isotype_or_subclass	80	80	10.3	1	0.0125	0	0.0	188.775	266.25	308.23249999999996	343.35	1476.2	231.50803511494976	2.5350166801564256	76	no	no
HPV33	cross_reactive_non_booster_target	v2	IgG1	antibody_isotype_or_subclass	80	80	92.3	1	0.0125	0	0.0	352.05	667.75	917.1512499999999	1186.525	4230.7	814.5416180855061	1.7547758797097834	78	no	no
HPV33	cross_reactive_non_booster_target	v1	IgG2	antibody_isotype_or_subclass	80	80	1.0	28	0.35	0	0.0	1.0	15.85	138.045	63.825	2471.7	398.16469428133865	4.45737851648877	48	yes	no
HPV33	cross_reactive_non_booster_target	v2	IgG2	antibody_isotype_or_subclass	80	80	1.0	25	0.3125	0	0.0	1.0	30.25	169.39749999999998	103.825	4906.2	599.1648362565423	6.800744436957879	52	yes	no
HPV33	cross_reactive_non_booster_target	v1	IgG3	antibody_isotype_or_subclass	80	80	1.0	2	0.025	0	0.0	67.85	154.5	342.99750000000006	384.125	3606.5	561.2004520093004	3.9709300759124098	78	no	no
HPV33	cross_reactive_non_booster_target	v2	IgG3	antibody_isotype_or_subclass	80	80	1.0	1	0.0125	0	0.0	130.825	367.75	978.0375	965.5	9596.0	1689.6037367334222	3.3291385194459004	79	no	no
HPV33	cross_reactive_non_booster_target	v1	IgG4	antibody_isotype_or_subclass	80	80	0.5	1	0.0125	0	0.0	1.0	1.0	11.51625	9.575	119.0	23.393596677431393	3.118111696387669	35	no	no
HPV33	cross_reactive_non_booster_target	v2	IgG4	antibody_isotype_or_subclass	80	80	0.2999999999999971	2	0.025	0	0.0	1.0	1.0	13.90125	15.0	150.0	27.547369989790866	3.2851433126428926	36	no	no
