matrix_type	mechanistic_axis	analysis_stratum	metric	participants	mean	standard_deviation	median	first_quartile	third_quartile	minimum	maximum
bpv_calibrated_log2_change	igg_subclass_architecture	primary_dose0	mean_cross_reactive_score	20	0.34186584547119026	1.4753157755332806	0.30184722585244805	-0.6634757002402675	0.9311166987018183	-2.2543497895193374	3.7390236946111974
bpv_calibrated_log2_change	igg_subclass_architecture	primary_dose0	median_cross_reactive_score	20	0.247569898324363	1.3945775215140357	0.22628261834512303	-0.7889072625366608	0.7376578206295894	-2.1728277597144485	3.49937044472772
bpv_calibrated_log2_change	igg_subclass_architecture	primary_dose0	minimum_cross_reactive_score	20	-0.7769794072527526	1.7000769823727484	-0.6505770842905918	-1.3602413128458162	0.11524544288037222	-5.122433907737606	1.6360773053878868
bpv_calibrated_log2_change	igg_subclass_architecture	primary_dose0	positive_antigen_count	20	2.9	1.9708400559953587	3.0	1.0	5.0	0.0	5.0
bpv_calibrated_log2_change	igg_subclass_architecture	primary_dose0	twofold_antigen_count	20	1.6	1.9303667499917432	1.0	0.0	2.0	0.0	5.0
bpv_calibrated_log2_change	igg_subclass_architecture	primary_dose0	positive_antigen_fraction	20	0.5799999999999998	0.3941680111990718	0.6	0.2	1.0	0.0	1.0
bpv_calibrated_log2_change	igg_subclass_architecture	primary_dose0	twofold_antigen_fraction	20	0.32	0.3860733499983486	0.2	0.0	0.4	0.0	1.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_all_doses	mean_cross_reactive_score	60	1.9409438527431901	1.221780087918526	2.1373757562617195	1.0125030766516283	2.707450239910952	-0.7559651587448885	4.240292288126478
bpv_calibrated_log2_change	igg_subclass_architecture	recall_all_doses	median_cross_reactive_score	60	1.9746951264927968	1.3447812915274826	2.191736898993827	1.046519742985267	2.989766667383524	-1.1262235927374107	5.2854380611460225
bpv_calibrated_log2_change	igg_subclass_architecture	recall_all_doses	minimum_cross_reactive_score	60	0.26931775822376264	1.2742819292591976	0.35886561680790735	-0.5635080071903752	1.1406036161043853	-2.394277736703369	3.1272175754730887
bpv_calibrated_log2_change	igg_subclass_architecture	recall_all_doses	positive_antigen_count	60	4.283333333333333	1.121313797635774	5.0	4.0	5.0	1.0	5.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_all_doses	twofold_antigen_count	60	3.466666666666667	1.5455421589111542	4.0	2.75	5.0	0.0	5.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_all_doses	positive_antigen_fraction	60	0.8566666666666667	0.22426275952715483	1.0	0.8	1.0	0.2	1.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_all_doses	twofold_antigen_fraction	60	0.6933333333333332	0.3091084317822308	0.8	0.55	1.0	0.0	1.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose1	mean_cross_reactive_score	20	2.291673558104018	1.1774192794244114	2.5939548105403123	1.8585818678346964	2.9562847560137344	-0.44592760003484677	4.240292288126478
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose1	median_cross_reactive_score	20	2.2870785658868	1.2351971341555772	2.653859803795151	1.3830116625374866	3.0224890361945898	-0.2718637856020316	4.110363338089209
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose1	minimum_cross_reactive_score	20	0.4707428514621442	1.1730207344996555	0.48723931364908507	-0.4487886776067981	1.5295243328535633	-1.8249258235335295	2.2859613524541045
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose1	positive_antigen_count	20	4.35	1.1367080817685316	5.0	4.0	5.0	1.0	5.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose1	twofold_antigen_count	20	3.7	1.5593520921743176	4.0	3.75	5.0	0.0	5.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose1	positive_antigen_fraction	20	0.8699999999999999	0.2273416163537063	1.0	0.8	1.0	0.2	1.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose1	twofold_antigen_fraction	20	0.7400000000000001	0.3118704184348635	0.8	0.75	1.0	0.0	1.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose2	mean_cross_reactive_score	21	1.8905936977970474	1.0632674253953098	2.1344496475149257	1.3227255229331414	2.5739304967471677	-0.0246900180313384	3.472750904749021
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose2	median_cross_reactive_score	21	1.9547168336422742	1.0881707774879765	2.2391194836300623	1.1184813595598795	2.983601327756092	-0.07982533910116196	3.394696743927584
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose2	minimum_cross_reactive_score	21	0.389566751148988	1.1892569544451121	0.5661940751369839	-0.27343501544063753	1.0689184418300872	-2.005746045222688	2.701821366105113
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose2	positive_antigen_count	21	4.428571428571429	0.9783367810436533	5.0	4.0	5.0	1.0	5.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose2	twofold_antigen_count	21	3.4761904761904763	1.6618979396776332	4.0	3.0	5.0	0.0	5.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose2	positive_antigen_fraction	21	0.8857142857142858	0.1956673562087306	1.0	0.8	1.0	0.2	1.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose2	twofold_antigen_fraction	21	0.6952380952380953	0.33237958793552663	0.8	0.6	1.0	0.0	1.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose3	mean_cross_reactive_score	19	1.6274048604617393	1.3892443450084906	1.4767917652988138	0.8043980824705281	2.3230476219811296	-0.7559651587448885	4.167465969460417
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose3	median_cross_reactive_score	19	1.6679517244917914	1.6713124868702318	1.6531606064191853	0.5320444110992402	2.2839035941744514	-1.1262235927374107	5.2854380611460225
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose3	minimum_cross_reactive_score	19	-0.07561543736557233	1.452927265677748	0.3121049957664531	-1.2461475869950738	0.7441393454522709	-2.394277736703369	3.1272175754730887
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose3	positive_antigen_count	19	4.052631578947368	1.26814318375447	5.0	3.5	5.0	1.0	5.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose3	twofold_antigen_count	19	3.210526315789474	1.4367767695018308	3.0	2.0	4.0	0.0	5.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose3	positive_antigen_fraction	19	0.8105263157894737	0.25362863675089403	1.0	0.7	1.0	0.2	1.0
bpv_calibrated_log2_change	igg_subclass_architecture	recall_dose3	twofold_antigen_fraction	19	0.6421052631578948	0.28735535390036615	0.6	0.4	0.8	0.0	1.0
raw_log2_change	binding_antibody_abundance	primary_dose0	mean_cross_reactive_score	20	1.2507167554238214	1.0428127099181352	0.9390829664123412	0.6053737350453502	1.6484457367196177	-0.0913055152773979	3.2536728314347045
raw_log2_change	binding_antibody_abundance	primary_dose0	median_cross_reactive_score	20	1.1182752352848684	0.891863724023045	0.9759923647446357	0.39261329626228053	1.6781129329699578	-0.23818556528073537	2.8940735503277915
raw_log2_change	binding_antibody_abundance	primary_dose0	minimum_cross_reactive_score	20	-0.39595030183569857	0.945958355656184	-0.042330018531798096	-1.0169386202652793	0.13536591935704362	-2.3091958780167605	0.8878575348413249
raw_log2_change	binding_antibody_abundance	primary_dose0	positive_antigen_count	20	4.15	0.8127277008872492	4.0	4.0	5.0	2.0	5.0
raw_log2_change	binding_antibody_abundance	primary_dose0	twofold_antigen_count	20	2.35	1.3869694338832113	2.5	1.75	3.25	0.0	4.0
raw_log2_change	binding_antibody_abundance	primary_dose0	positive_antigen_fraction	20	0.8300000000000001	0.1625455401774498	0.8	0.8	1.0	0.4	1.0
raw_log2_change	binding_antibody_abundance	primary_dose0	twofold_antigen_fraction	20	0.47000000000000003	0.2773938867766423	0.5	0.35000000000000003	0.65	0.0	0.8
